feature,importance
numeric__duration,0.1020695358132933
numeric__packets_len_rate,0.09196587826707277
numeric__packets_rate,0.0877849619803373
categorical__dns_top_level_domain,0.075532792413752
numeric__character_entropy,0.05941861457521621
categorical__dns_second_level_domain,0.057341120532960796
numeric__conv_freq_vowels_consonants,0.05562387993040413
numeric__vowels_consonant_ratio,0.04674964770832434
numeric__max_continuous_alphabet_len,0.04514630034183289
numeric__max_continuous_consonants_len,0.02482875857280853
numeric__median_receiving_packets_len,0.021784401674926093
numeric__max_receiving_packets_len,0.021110886487212894
numeric__dns_domain_name_length,0.020902768732384062
numeric__mode_packets_len,0.020353509097093516
numeric__min_receiving_packets_len,0.020032382470427816
numeric__mean_receiving_packets_len,0.01813170711808846
numeric__total_bytes,0.01807655160663282
numeric__mode_receiving_packets_len,0.017923211694531087
numeric__mean_packets_len,0.01776789115615155
numeric__mean_sending_packets_len,0.017641304268787367
numeric__median_packets_len,0.017456000510095143
numeric__median_sending_packets_len,0.016772034875287053
numeric__mode_sending_packets_len,0.01662194704494329
numeric__max_packets_len,0.01658020946336574
numeric__max_sending_packets_len,0.016420070949364703
numeric__sending_bytes,0.016253198853200482
numeric__min_sending_packets_len,0.016213504701648764
numeric__min_packets_len,0.016093357274703776
numeric__receiving_bytes,0.013201909692566323
numeric__numerical_percentage,0.010872145103725195
numeric__dns_subdomain_name_length,0.003183648757615503
numeric__sending_packets_numbers,5.410250232564753e-05
numeric__packets_numbers,5.016118675773603e-05
numeric__receiving_packets_numbers,4.160464216279175e-05
